,Job Title,Location,Industry,Sector,salary_average,City,State,Lat,Lng
0,data scientist,"New York, NY",Advertising & Marketing,Business Services,16900,New York,NY,40.7127753,-74.0059728
1,data scientist,"Chantilly, VA",Research & Development,Business Services,16900,Chantilly,VA,38.8942786,-77.43109919999999
2,data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,16900,Cambridge,MA,42.3736158,-71.10973349999999
3,data scientist,"Overland Park, KS",Healthcare Services & Hospitals,Healthcare,16900,Overland Park,KS,38.9822282,-94.6707917
4,data scientist,"San Francisco, CA",Government Agencies,Government,16900,San Francisco,CA,37.7749295,-122.4194155
5,data scientist,"Chantilly, VA",Enterprise Software & Network Solutions,Information Technology,16900,Chantilly,VA,38.8942786,-77.43109919999999
6,data scientist,"Miami, FL",Enterprise Software & Network Solutions,Information Technology,16900,Miami,FL,25.7616798,-80.1917902
7,data scientist,"San Francisco, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,16900,San Francisco,CA,37.7749295,-122.4194155
8,data scientist,New Jersey,Enterprise Software & Network Solutions,Information Technology,16900,New Jersey,,40.0583238,-74.4056612
9,data scientist,Oregon,Food & Drink Manufacturing,Manufacturing,16900,Oregon,,43.8041334,-120.5542012
10,data scientist,"Chevy Chase, MD",Insurance Operators,Insurance,16900,Chevy Chase,MD,38.9692771,-77.07886669999999
11,data scientist,"Scotts Valley, CA",Healthcare Services & Hospitals,Healthcare,16900,Scotts Valley,CA,37.0510595,-122.0146841
12,data scientist,"Boston, MA",Consulting,Business Services,16900,Boston,MA,42.3600825,-71.0588801
13,data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,16900,Cambridge,MA,42.3736158,-71.10973349999999
14,data scientist,"Naperville, IL",Chemical Manufacturing,Manufacturing,16900,Naperville,IL,41.7508391,-88.1535352
15,data scientist,"Herndon, VA",Research & Development,Business Services,16900,Herndon,VA,38.9695545,-77.3860976
16,data scientist,"Hill AFB, UT",Aerospace & Defence,Aerospace & Defence,16900,Hill AFB,UT,41.1321102,-111.9939817
17,data scientist,"Woodbridge, NJ",Insurance Operators,Insurance,16900,Woodbridge,NJ,40.5575986,-74.2846022
18,data scientist,"Alexandria, VA",Research & Development,Business Services,16900,Alexandria,VA,38.8048355,-77.0469214
19,data scientist,"Spartanburg, SC",Lending,Finance,16900,Spartanburg,SC,34.9495672,-81.9320482
20,data scientist,"Ipswich, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,16900,Ipswich,MA,42.6791832,-70.8411558
21,data scientist,"New York, NY",Insurance Operators,Insurance,126500,New York,NY,40.7127753,-74.0059728
22,data scientist,"Lexington, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,126500,Lexington,MA,42.4473497,-71.2271531
23,data scientist,"Lexington, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,126500,Lexington,MA,42.4473497,-71.2271531
24,data scientist,"Akron, OH",Healthcare Services & Hospitals,Healthcare,126500,Akron,OH,41.0814447,-81.51900529999999
25,data scientist,"Madison, WI",Investment Banking & Asset Management,Finance,126500,Madison,WI,43.0730517,-89.4012302
26,data scientist,"Bedford, MA",-1,-1,126500,Bedford,MA,42.4906231,-71.2760089
27,data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,126500,Cambridge,MA,42.3736158,-71.10973349999999
28,data scientist,"Hoboken, NJ",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,126500,Hoboken,NJ,40.7439905,-74.0323626
29,data scientist,"Milwaukee, WI",Food & Drink Manufacturing,Manufacturing,126500,Milwaukee,WI,43.0389025,-87.9064736
30,data scientist,"Chantilly, VA",Enterprise Software & Network Solutions,Information Technology,126500,Chantilly,VA,38.8942786,-77.43109919999999
31,data scientist,"Pittsburgh, PA",-1,-1,126500,Pittsburgh,PA,40.44062479999999,-79.9958864
32,data scientist,"Reston, VA",Enterprise Software & Network Solutions,Information Technology,126500,Reston,VA,38.9586307,-77.35700279999999
