Job Title,Location,Industry,Sector,salary_average
data scientist,"New York, NY",Advertising & Marketing,Business Services,84500
data scientist,"Chantilly, VA",Research & Development,Business Services,84500
data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,84500
data scientist,"Overland Park, KS",Healthcare Services & Hospitals,Healthcare,84500
data scientist,"San Francisco, CA",Government Agencies,Government,84500
data scientist,"Chantilly, VA",Enterprise Software & Network Solutions,Information Technology,84500
data scientist,"Miami, FL",Enterprise Software & Network Solutions,Information Technology,84500
data scientist,"San Francisco, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,84500
data scientist,New Jersey,Enterprise Software & Network Solutions,Information Technology,84500
data scientist,Oregon,Food & Drink Manufacturing,Manufacturing,84500
data scientist,"Chevy Chase, MD",Insurance Operators,Insurance,84500
data scientist,"Scotts Valley, CA",Healthcare Services & Hospitals,Healthcare,84500
data scientist,"Boston, MA",Consulting,Business Services,84500
data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,84500
data scientist,"Naperville, IL",Chemical Manufacturing,Manufacturing,84500
data scientist,"Herndon, VA",Research & Development,Business Services,84500
data scientist,"Hill AFB, UT",Aerospace & Defence,Aerospace & Defence,84500
data scientist,"Woodbridge, NJ",Insurance Operators,Insurance,84500
data scientist,"Alexandria, VA",Research & Development,Business Services,84500
data scientist,"Spartanburg, SC",Lending,Finance,84500
data scientist,"Ipswich, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,84500
data scientist,"New York, NY",Insurance Operators,Insurance,126500
data scientist,"Lexington, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,126500
data scientist,"Lexington, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,126500
data scientist,"Akron, OH",Healthcare Services & Hospitals,Healthcare,126500
data scientist,"Madison, WI",Investment Banking & Asset Management,Finance,126500
data scientist,"Bedford, MA",-1,-1,126500
data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,126500
data scientist,"Hoboken, NJ",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,126500
data scientist,"Milwaukee, WI",Food & Drink Manufacturing,Manufacturing,126500
data scientist,"Chantilly, VA",Enterprise Software & Network Solutions,Information Technology,126500
data scientist,"Pittsburgh, PA",-1,-1,126500
data scientist,"Reston, VA",Enterprise Software & Network Solutions,Information Technology,126500
data scientist,"Waltham, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,126500
data scientist,"San Francisco, CA",Enterprise Software & Network Solutions,Information Technology,126500
data scientist,"Gardnerville, NV",Healthcare Services & Hospitals,Healthcare,126500
data scientist,"Washington, DC",IT Services,Information Technology,126500
data scientist,"Pittsburgh, PA",Banks & Building Societies,Finance,126500
data scientist,"Bridgeport, WV",Consulting,Business Services,126500
data scientist,"Newton, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,126500
data scientist,"White Sands Missile Range, NM",Aerospace & Defence,Aerospace & Defence,126500
