,data scientist,junior data scientist,senior data scientist,skills,total,percent_jr,percent_sr,percent_mid
R,6288.0,364.0,2047.0,R,8699.0,4.0,24.0,72.0
PYTHON,4986.0,300.0,1642.0,PYTHON,6928.0,4.0,24.0,72.0
MACHINE LEARNING,4715.0,264.0,1630.0,MACHINE LEARNING,6609.0,4.0,25.0,71.0
Degree,3923.0,265.0,1259.0,Degree,5447.0,5.0,23.0,72.0
SQL,3533.0,190.0,1121.0,SQL,4844.0,4.0,23.0,73.0
SPARK,1815.0,99.0,724.0,SPARK,2638.0,4.0,27.0,69.0
Hadoop,1670.0,83.0,611.0,Hadoop,2364.0,4.0,26.0,71.0
JAVA,1526.0,79.0,529.0,JAVA,2134.0,4.0,25.0,72.0
SCALA,1407.0,55.0,563.0,SCALA,2025.0,3.0,28.0,69.0
TABLEAU,1326.0,73.0,446.0,TABLEAU,1845.0,4.0,24.0,72.0
